icon,Collection,Date,Description,Place,Title,latitude,longitude,url
grocery,Naomi and Nehemiah Cohen Foundation,4/1/1964,"Interior of Giant store # 9 located at 3924 Minnesota Ave., NE. Taken nineteen years after the store&#8217;s 1945 opening, this photograph shows shelves stacked with canned and dry foods in the foreground.","3924 Minnesota Ave., NE",Giant Store # 9 Interior,38.8939592,-76.9514113,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=BD697D70-B43C-4366-80D9-774192377296;type=102
grocery,Naomi and Nehemiah Cohen Foundation,After 1948,"Interior of Giant store # 9 located at 3924 Minnesota Ave., Northeast, DC showing the store&#8217;s Heidi Bakery section. A variety of cakes, pastries, and breads line the bakery&#8217;s cases.","3924 Minnesota Ave., NE, Washington, DC",Giant Store # 9 Heidi Bakery,38.8939592,-76.9514113,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=F267C533-8E88-425C-AEFE-155316928638;type=102
grocery,Naomi and Nehemiah Cohen Foundation,8/2/1953,"Exterior of Giant store # 9 located at 3924 Minnesota Ave., NE, Washington, DC taken in 1953. The large sign centered on the facade is not present in 1946 photographs.","3924 Minnesota Ave., NE, Washington, DC","Giant Store # 9 Exterior, 1953",38.8939592,-76.9514113,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=B112F1A9-2516-4DB1-91AE-902622440742;type=102
grocery,Naomi and Nehemiah Cohen Foundation,10/29/1953,"Interior of Giant store # 9 (3924 Minnesota Ave., NE, Washington, DC) showing employees posed for a group photograph.","3924 Minnesota Ave., NE, Washington, DC","Giant Store # 9 Employees, 1953",38.8939592,-76.9514113,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=E1684FA9-92A3-4293-82A3-803454850774;type=102
grocery,Naomi and Nehemiah Cohen Foundation,8/2/1953,"Exterior of Giant store # 4 located at 1438 Rhode Island Ave., NE, Washington, DC, taken thirteen years after its 05/01/1940 opening. Square-paned glass lights surround the &#8221;Giant Food Shopping Center Inc&#8221; sign and frame the facade&#8217;s windows and doors.","1438 Rhode Island Ave., NE, Washington, DC",Giant Store # 4 Exterior,38.925474,-76.984421,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=32981356-344A-4343-9EB6-918503245870;type=102
grocery,Naomi and Nehemiah Cohen Foundation,After 12/14/1937,"Exterior of Giant store # 2, which opened 12/14/1937 at 845 Bladensburg Road, NE, in Washington, DC. This undated photograph of the facade reveals small-scale window displays probably meant to be viewed by pedestrians at sidewalk level. Comparison with a photograph taken during the store&#8217;s construction reveals changes to the facade including relocation of windows and doors.","845 Bladensburg Road, NE, Washington, DC",Giant Store # 2 Exterior,38.9012713,-76.9820757,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=7BD7B924-F6CE-4D7F-8A3C-350509341060;type=102
grocery,Naomi and Nehemiah Cohen Foundation,After 12/14/1937,"Deli counter at Giant store # 2, which opened at 845 Bladensburg Road, NE, in Washington, DC, on 12/14/1937. This undated photograph shows employees arranged in a line behind the counter with self-service eggs, cheeses, and prepared foods displayed in front of the counter.","845 Bladensburg Road, NE, Washington, DC",Giant Store # 2 Deli Counter,38.9012713,-76.9820757,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=6D44C5A9-2507-499D-9078-123735919320;type=102
grocery,Naomi and Nehemiah Cohen Foundation,After 12/14/1937,"This undated interior photograph shows a circus-themed display at Giant store # 2. Located at 845 Bladensburg Road, NE in Washington, DC, the store opened on 12/14/1937.","845 Bladensburg Road, NE, Washington, DC",Giant Store # 2 Circus-Themed Display,38.9012713,-76.9820757,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=28D4E49D-DE93-4BFE-8C0D-458210393559;type=102
grocery,Naomi and Nehemiah Cohen Foundation,11/15/1950,"An employee wearing both Giant and Washington Apples promotional items poses with an apple display at Giant store # 2. Located at 845 Bladensburg Road, NE, in Washington, DC, the store opened 12/14/1937.","845 Bladensburg Road, NE, Washington, DC",Giant store # 2 Apple Promotion,38.9012713,-76.9820757,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=1EEE9B08-005E-404F-A538-236511626471;type=102
small_blue,Business Card Collection,,"Illustrated business card for H.L. Strasburger Fine Shoes, 306-308 Seventh Street, NW, approx. 4.5? x 2.5?","307 7th Street, NW",,38.8941883,-77.0218892,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=251613B2-4C06-4874-8598-559031346858;type=301
small_blue,Business Card Collection,ca 1870-1880,"Illustrated business card for B.J. Behrend & Son, Fancy Goods & Millinery, 816-818 Seventh Street, NW. ","Illustrated business card for B.J. Behrend & Son, Fancy Goods & Millinery, 816-818 Seventh Street, NW. ",,38.9006228,-77.0219377,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=D08A29CE-82CF-487A-9755-104551339366;type=301
small_blue,Business Card Collection,,"Illustrated business card advertising ?New Fall Carpets? at Julius Lansburgh?s, 315 7th Street, NW","315 7th Street, NW",,38.8943147,-77.0218898,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=0FF157FD-5A7D-445D-A7CC-214311810227;type=301
small_blue,Maurice and Flora Atkin Collection,8/26/2011,"Postcard written by Joseph Blumenthal from Atlantic City to his brother, Sam Blumenthal, at 1812 7th Street, NW, August 26, 1911","1812 7th Street, NW",,38.9142906,-77.0219442,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=EA0BDB39-12B9-4F9F-98BB-307809076845;type=301
small_blue,Maurice and Flora Atkin Collection,8/10/2014,"Postcard written by Joseph Blumenthal to his parents, Herman and Rachel Blumenthal at 1812 7th Street, NW, August 10, 1914. Front of card shows amusement park in Norfolk, VA;","1812 7th Street, NW",,38.9142906,-77.0219442,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=9B2C7EC9-C231-42E1-8E21-485717458167;type=301
small_blue,Soviet Jewry Collection,4/10/1978,"Records of vigils/rallies not clearly organized by the Jewish Community Council:



Flier for a prayer vigil at Farragut Square sponsored by the Synagogue Council of America with cooperation of The American Jewish Conference on Soviet Jewry, June 3, 1971



Newsclipping about Solidarity Day rally at Constitution Hall, published June 13, 1977



Newsclipping about a protest march from Lafayette Park to K Street, NW, and back, published April 10, 1978",17 Street NW and K St NW,Vigils/Rallies,38.9025266,-77.0393836,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=A61023B6-D8AB-4138-9758-624377513490;type=301
small_blue,Maurice and Flora Atkin Collection,1951,"Invitation for Mr. & Mrs. Maurice Atkin to reception given by Israeli Minister Teddy Kollek in honor of Dr. Moshe Keren at the Israeli Embassy at 1621 22nd Street, NW, 1951","1621 22nd Street, NW",,38.9123581,-77.0485358,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=CA1B2095-A4A8-4DAF-A9B6-838534077814;type=301
small_blue,,1944,"Flier for a prayer vigil at Farragut Square sponsored by the Synagogue Council of America with cooperation of The American Jewish Conference on Soviet Jewry, June 3, 1971","1100 H Street, NW",,38.8994721,-77.0272988,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=616FCA35-63D1-4F4B-844E-432011402833;type=102
small_blue,,1947,"Newsclipping about Solidarity Day rally at Constitution Hall, published June 13, 1977","438 V Street, NW",,38.9182781,-77.0185612,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=3F71CE18-8FDE-41A7-933F-638946436653;type=102
small_blue,,1947,,"438 V Street, NW",,38.9182781,-77.0185612,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=CA060A71-75E5-4B6A-9417-269170510453;type=102
small_blue,,1950,"Albert Platt in front of his Jewish book store (&#8221;Hebrew Supply House Books + Gifts&#8221;) at 14th and Shepherd St, NW.","14 St NW and Shepherd St, NW",,38.9397491,-77.0327219,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=137526F2-6C96-4656-AD5D-693903543961;type=102
small_blue,,1914,"Morris Silverman&#8217;s grocery store at Georgia Avenue and Kenyon Street, NW.  Two children, Robert I. Silverman and Augusta Silverman (Dessoff), stand in front of the store.","Georgia Avenue NW and Kenyon Street, NW",,38.9300192,-77.0233778,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=594E9DAB-E9AF-4DF0-B9FF-232166153240;type=102
small_blue,,1934,"Rosalind Epstein (b. 8/2/1910) holding her son Burton (b. 3/13/1933) in front of Epstein&#8217;s Ideal Market at 1629 13th Street, NW.","1629 13th Street, NW",,38.911981,-77.0292949,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=BEDCB2D3-F5A1-4E95-A9BA-730412310960;type=102
small_blue,,1933,"Exterior of Shear&#8217;s Market on 5th Street, NW between P and Q Streets, NW.",5th Street NW and Q Street NW,,38.9111283,-77.0189163,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=62E11844-8AFD-4354-A957-274749470603;type=102
small_blue,,1943,"Emily Pach (owner) in Millinery Shop on Georgia Avenue, NW.","Georgia Avenue, NW.",,38.9763357,-77.0266103,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=DCAB3628-9E2F-496A-8431-465902984186;type=102
small_blue,,1938,Abraham Hochberg standing in front of Hochberg Jewelry store,"435 7th Street, NW",Hochberg Jewelers,38.8958138,-77.0219066,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=DF32841E-4E98-40BA-9863-773939234510;type=102
small_blue,,1938,Exterior of Hochberg Jewelry Store,"435 7th Street, NW",Hochberg&#8217;s Jewelry Store,38.8958138,-77.0219066,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=78288018-8F13-4623-B70D-420955584144;type=102
small_blue,Teen Club Collection,1940s,"Black & white photograph of the Cardozo Club basketball team, 1940s.  The club met monthly at the Jewish Community Center on 16th Street, NW.","1529 16th St NW, Washington, DC 20036",,38.9108855,-77.0359163,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=65292167-9BE6-4851-8BE6-849266237329;type=102
small_blue,Teen Club,4/3/1948,Phi Delta Sorority Alumni Luncheon.  Women seated at tables in the Chinese Room at the Mayflower Hotel.,"1127 Connecticut Avenue, NW, Washington, DC",Phi Delta Alumni Luncheon,38.9044414,-77.0399487,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=67503DDE-3396-4AA3-AC91-393149396045;type=102
small_blue,Blacher Family Collection,1943,Wedding portrait of Margaret Hais Blacher,"Webster Street, NW",,38.9439936,-77.0262308,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=0DA375A1-BEFD-4C51-803D-922635501765;type=102
small_blue,Blacher Family Collection,1943,Wedding portrait of Margaret and Fred Blacher,"Webster Street, NW",,38.9439936,-77.0262308,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=7786AF55-C8DF-43B6-A564-332175124240;type=102
small_blue,,1911,"B&W photo of Samuel Isaac and Jennie Cohen, ca. 1911, in grocery store at 722 4th Street NW.  Both people are wearing aprons and standing behind meat counter.",722 4th Street NW,,38.88067,-77.0003415,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=3BC017CE-4473-4546-8577-436452381040;type=102
small_blue,,1925,"Benjamin Dekelbaum in his grocery store at 11th and P Streets, NW",11th Street NW and P Street NW,,38.9096451,-77.0270339,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=DFC7311A-972F-4436-A559-480568378535;type=102
small_blue,,2/4/1945,Wedding portrait of Harold Lichtenstein and Betty Shapiro.  Groom is wearing military uniform at Adas Israel Synagogue,6th Street NW and I Street NW,,38.9008802,-77.0199056,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=96F6F7F7-829A-4261-8FB8-793785898721;type=102
small_blue,Berman Family Collection,6/23/1941,"Two girls sitting outside a building door on Third Street, NW.  1941.","Third Street, NW",,38.9554998,-77.0160461,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=D859FE66-74DC-47F1-B6A4-988154116914;type=102
small_blue,Berman Family Collection,,"Simon Berman in front of a window of his tailor and cleaning ship at 309 G Street, NW","t 309 G Street, NW",,38.8983422,-77.0156366,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=8502C9F8-8A08-4927-9AA8-204229983099;type=102
small_blue,Berman Family Collection,,"Berman family in front of their home at 723 Third Street, NW","723 Third Street, NW",,38.8988292,-77.015205,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=D7014B74-87FD-4354-A23E-416072612329;type=102
small_blue,Berman Family Collection,,"Exterior of Berman home at 723 Third Street, NW","723 Third Street, NW",,38.8988292,-77.015205,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=A2F0F762-3EA7-43DD-BCF2-586438209320;type=102
small_blue,Berman Family Collection,,"Young man on sidewalk of Third Street, NW.  Bob Shrier&#8217;s grocery street in background across street.","Third Street, NW",,38.9554998,-77.0160461,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=6BEFC653-BF7C-4FCD-94BE-075073152938;type=102
small_blue,Berman Family Collection,1939,"Two women sitting on a bench in the front yard of 723 Third Street, NW.","723 Third Street, NW",,38.8988292,-77.015205,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=AD90D793-8030-4B4A-9337-338298467633;type=102
small_blue,Berman Family Collection,,"Group of children sitting on bench in front of 723 3rd Street, NW.  Label on back reads &#8221;Maxine, Bobby, and George Berman with neighbors&#8221;.","723 Third Street, NW",,38.8988292,-77.015205,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=2EDA8C5F-8AA9-465F-9FBA-331536777472;type=102
small_blue,Berman Family Collection,,"Looking north from the yard of 723 Third Street, NW into 725 Third Street and Sanitary store and beyond.  Two children in the lower left corner.",725 Third Street NW,,38.8988524,-77.015205,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=1435FE31-9253-46E4-9C12-898210195726;type=102
small_blue,Berman Family Collection,,"Selma Levine Musher Goldberg (cousin) holding George Berman (few months old) on the sidewalk in front of 723 Third Street, NW.  View down tree-lined street.","723 Third Street, NW",,38.8988292,-77.015205,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=C681F8A3-BDF5-495E-988F-355567923310;type=102
small_blue,Berman Family Collection,,"George Berman and Bobby Sherier playing in an alley next to Third Street, NW.  One of the boys is wearing shorts and boxing gloves and the other is holding up of the boy&#8217;s hands in one hand and making the &#8221;number one&#8221; sign with his other hand.","Third Street, NW",,38.9554998,-77.0160461,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=91147DB6-7725-4177-9A27-729395357779;type=102
small_blue,Berman Family Collection,,"Gladys Berman (daughter of Sophie and Simon Berman) in front of a window of her father&#8217;s tailor and cleaning store at 309 G Street, NW.  Signs in the window advertise services such as suit pressing, cleaning, and repairing.","309 G Street, NW",,38.8983422,-77.0156366,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=2A467BD1-5D71-4C87-8FD8-953329964246;type=102
small_blue,Smith&#8217;s Pharmacy Collection,,Color photograph of interior of Smith&#8217;s Pharmacy at 2518 14th Street NW; shows customers at lunch counter and pharmacy assistant Don Silver on stepstool.,2518 14th Street NW,,38.9225773,-77.032045,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=D8268C14-4F1F-4E1B-91F5-845361043720;type=102
small_blue,Smith&#8217;s Pharmacy Collection,,"8x10 b&w photo of interior of Smith&#8217;s Pharmacy at 2518 14th Street, NW. Shows Larry Rosen & pharmacist  Dr. Morton Jones at cash register with customer.  Sunglass display shown overhead.",2518 14th Street NW,,38.9225773,-77.032045,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=76800002-F571-4685-8C1F-096274149535;type=102
small_blue,Smith&#8217;s Pharmacy Collection,,"Color photo of interior of Smith&#8217;s Pharmacy at 2518 14th Street, NW.  Larry Rosen and teenage boy, Don Silver, standing behind counter.",2518 14th Street NW,,38.9225773,-77.032045,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=C6E4DAD3-85DA-445E-8F5A-853620734351;type=102
small_blue,Magruder&#8217;s Collection,9/1/1994,"Magruder&#8217;s storefront at 5626 Connecticut Avenue NW, Washington, DC",5626 Connecticut Avenue NW,"Magruder&#8217;s - 5626 Connecticut Avenue NW, DC (front)",38.9655457,-77.0764669,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=4E89BAEE-0162-4295-9F5D-887962869981;type=102
small_blue,Magruder&#8217;s Collection,1/1/1995,"Magruder&#8217;s parking lot and back of store at 5626 Connecticut Avenue NW, Washington, DC",5626 Connecticut Avenue NW,"Magruder&#8217;s - 5626 Connecticut Avenue NW, DC (back)",38.9655457,-77.0764669,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=FE0E2C47-FC2E-477C-B039-683437933370;type=102
small_blue,Magruder&#8217;s Collection,1/1/1995,"Magruder&#8217;s storefront at 5626 Connecticut Avenue, NW",5626 Connecticut Avenue NW,Magruder&#8217;s -,38.9655457,-77.0764669,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=9B64900C-16A0-4A34-9BDD-922035342978;type=102
small_blue,,1913,"8x10 sepia toned print of Fred Gichner family at their home at 3220 Highland Place, NW.","3220 Highland Place, NW.",,38.935305,-77.064153,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=A7C6D04E-71F0-4779-BD24-903028828355;type=102
small_blue,,1920,"8x10 black & white photograph of Gichner family at 3220 Highland Place, NW.   Fred and Tina Gichner surrounded by their children, Hanna (Bernhardt), Jacob, Henry, Bill, and Joe (oldest to youngest).","3220 Highland Place, NW",,38.935305,-77.064153,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=CDF47A05-C82F-40B2-B659-681621947660;type=102
small_blue,Comet Liquor Store Collection,,"8x10 Color photo of Sidney Drazin in front of Comet Liquor Store at 1815 Columbia Road, NW.","1815 Columbia Road, NW.",,38.9220196,-77.0436323,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=3BF0E4CF-24F6-4295-96F8-032799941490;type=102
small_blue,Comet Liquor Store Collection,,"Color photo of interior of Comet Liquor at 1815 Columbia Road, NW.  Owner Sidney Drazin is standing at the cash register talking on the phone.","1815 Columbia Road, NW.",,38.9220196,-77.0436323,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=A66F842B-1D12-4638-B298-555129469047;type=102
small_blue,Comet Liquor Store Collection,9/1/1995,"Color photo of Sidney and Bernice Drazin inside Comet Liquor at 1815 Columbia Road, NW.","1815 Columbia Road, NW.",,38.9220196,-77.0436323,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=2461A1EB-BA49-4F0E-B268-937140139050;type=102
small_blue,Comet Liquor Store Collection,7/1/1991,"Color photo of Sidney Drazin leaning over the counter inside Comet Liquor at 1815 Columbia Road, NW.","1815 Columbia Road, NW.",,38.9220196,-77.0436323,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=8477798B-9BB6-4600-8186-303003047561;type=102
small_blue,Comet Liquor Store Collection,7/1/1991,"Color photo of exterior of Comet Liquor at 1815 Columbia Road, NW.  Neon sign overstore is shown with &#8221;Deli Open&#8221; signs in the front window.","1815 Columbia Road, NW.",,38.9220196,-77.0436323,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=5C7611D7-4502-4787-B37C-330086808280;type=102
small_blue,Comet Liquor Store Collection,,"Color photo of Sidney Drazin seated in front of the counter at Comet Liquor at 1815 Columbia Road, NW.","1815 Columbia Road, NW.",,38.9220196,-77.0436323,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=6AA13A12-2F69-4CE7-AFB7-286040815006;type=102
small_blue,Comet Liquor Store Collection,,"Color photo of Sidney Drazin behind counter at Comet Liquor at 1815 Columbia Road, NW, shown talking with two customers and Bernice Drazin.","1815 Columbia Road, NW.",,38.9220196,-77.0436323,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=F5EBEF47-6E03-4E43-83B1-648146450760;type=102
small_blue,,1950,"B&w photo of Selma Seidel in the grocery store she and her husband Morris ran at 3265 Prospect Street, NW, c.1950","3265 Prospect Street, NW",,38.9061158,-77.0650437,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=47FEA869-CE0D-4ED6-9A3A-303191710506;type=102
small_blue,,7/1/1956,"B&w photo of Morris Seidel with an unidentified boy in front of the DGS store he ran with his wife Selma at 3265 Prospect Street, NW after it was remodeled for self-service, 1956.","3265 Prospect Street, NW",,38.9061158,-77.0650437,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=1738AEA5-8D58-4C7A-B4CE-467243836760;type=102
small_blue,,8/31/1958,"8&#8221; x 10&#8221; black and white photograph taken at the wedding of Sherry Zvares and Phillip Kasten at the Hamilton Hotel at 1001 K Street, NW.  Accordianist Merv Conn plays for a table of guests.  August 31, 1958.","1001 K Street, NW",,38.9028163,-77.0262138,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=E7820012-6332-464F-A5CA-867334877711;type=102
small_blue,,1924-1947.,"Harry Piver pointing at window display outside The Piver Delicatassen, his deli/liquor store at 3329 14th Street, NW","3329 14th Street, NW",,38.930765,-77.0327207,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=9FF586D2-A299-4FBD-91A0-826983552317;type=102
small_blue,,1924-1947.,"Exterior of The Piver Delicatessen, a deli/liquor store owned by Harry Piver, 3329 14th Street, NW","3329 14th Street, NW",,38.930765,-77.0327207,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=E2B89609-C5F2-4CE8-BE20-875496948913;type=102
small_blue,,,"Samuel Freedman with a grocery employee in his grocery store, Freedman&#8217;s Market (also called S & S Super Market) at 2nd and F Streets, NW.","2nd Street NW and F Streets, NW",,38.918107,-77.014625,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=774705CD-EF3C-4E04-A35D-059093546536;type=102
small_blue,,,"Stanley and Samuel Freedman, son and father, between two grocery store employees inside their grocery store, Freedman&#8217;s Market (also known as S & S Super Market) at 2nd and F Streets, NW","2nd Street NW and F Streets, NW",,38.918107,-77.014625,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=5CCA5E37-89C1-4841-9EAD-024842850916;type=102
small_blue,,,"Samuel Freedman (left) inside his grocery store, Rainbow Market, at 8th Street and Florida Avenue, NW","8th Street NW and Florida Avenue, NW",,38.9167197,-77.022936,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=333F0A22-FE28-4B7C-AEFC-808910528340;type=102
small_blue,,1943,"Enid Bubley, Bluma Horowitz, and Roselyn Silverman waiting in a stairway for their turns to use the bathroom in Dissin&#8217;s in 2013 Massachusetts Avenue, NW, 1943","2013 Massachusetts Avenue, NW",,38.910374,-77.0455004,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=30643234-4523-484F-B041-066504641110;type=102
small_blue,,1943,"Roselyn Silverman in bathrobe holding toiletries and talking to a woman on a bed in Dissin&#8217;s at 2013 Massachusetts Avenue, NW, 1943","2013 Massachusetts Avenue, NW",,38.910374,-77.0455004,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=FD1E074B-D118-4480-BFE1-734169183205;type=102
small_blue,,1934,"Photograph of Aron Bran in his tailor shop called American Tailoring Company at 1333 7th Street, NW, c. 1934.","1333 7th Street, NW",,38.9080644,-77.0219091,http://jhsgw.pastperfect-online.com/31288cgi/mweb.exe?request=record;id=C39D7DC0-57F7-11DD-A7F6-595126154261;type=102
